,DN,target,Name,x_centroid,y_centroid,area_m,perimeter,glaciersum,mean_elevation,median_elevation,std_elevation,min_elevation,max_elevation,range_elevation,variance_elevation,region,region_name,mean_slope,median_slope,std_slope,min_slope,max_slope,range_slope,variance_slope,glarea_percent,glacier,x_wgs,y_wgs,M,Rc,Cc,mean_annual_T,mean_jan_T,mean_july_T,mean_monsoon_T,mean_no_monsoon_T,count_zeros
1092,21,0,FF,5875833.875,-1211229.91,21212257.29,26914.091,250278.748,5423.563473268748,5460.0,415.384635463458,4313.0,6211.0,1898.0,172544.3953791099,8,interior tibet,28.07873532659784,29.02777099609375,10.406999238867597,0.367117762565613,60.6473388671875,60.28022110462189,108.30563315779072,1.1798779572506308,1,78.352,33.942,8741574.2581371,0.367991101695257,1.6601889048616936,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1093,22,1,DF,5873273.035,-1209867.53,1497190.367,7669.749,0.0,4902.377224199288,4926.0,258.7900477515976,4288.0,5375.0,1087.0,66972.28881527417,8,interior tibet,37.2654897372736,38.76484680175781,8.434489473758177,2.349415063858032,54.29463577270508,51.945220708847046,71.14061268293749,0.0,0,78.36,33.97,1330050.2715107512,0.3198339673415342,1.780794776514697,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1094,23,1,DF,5872281.471,-1208989.58,761.154,110.356,0.0,4331.0,4331.0,0.0,4331.0,4331.0,0.0,0.0,8,interior tibet,17.764162063598633,17.764162063598633,0.0,17.764162063598633,17.764162063598633,0.0,0.0,0.0,0,78.366,33.982,0.0,0.7853992767671734,1.1363991945282856,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1096,24,1,Df,5872199.234,-1214584.07,5740625.189,16111.99,11600.033,5352.966984884646,5428.0,432.5608509652182,4312.0,6194.0,1882.0,187108.8897877537,8,interior tibet,31.40053856523781,32.174442291259766,9.381969303839362,0.519175827503204,60.34272003173828,59.82354420423508,88.02134801818406,0.2020691582900693,1,78.314,33.971,4509197.060666526,0.277888573238809,1.9104726344260992,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
1098,25,1,DF,5869798.459,-1213817.66,761.154,110.356,0.0,4268.0,4268.0,0.0,4268.0,4268.0,0.0,0.0,8,interior tibet,16.189289093017578,16.189289093017578,0.0,16.189289093017578,16.189289093017578,0.0,0.0,0.0,0,78.316,33.997,0.0,0.7853992767671734,1.1363991945282856,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
1099,26,1,DF,5870174.381,-1215386.53,726141.134,6235.119,0.0,4922.071278825996,4934.5,308.4711355381726,4271.0,5570.0,1299.0,95154.44146020962,8,interior tibet,35.05444877152673,35.96112251281738,5.755120595790931,14.188888549804688,47.75053024291992,33.561641693115234,33.12141307209696,0.0,0,78.303,33.99,1106928.7581650114,0.2347153052816614,2.0787653098620464,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
1100,27,0,FF,5869191.5,-1215307.47,761.154,110.356,0.0,4418.999999999832,4416.5,3.535533905813762,4414.0,4419.0,5.0,12.499999999158716,8,interior tibet,12.645152092074053,14.038488864898682,1.970475761148269,12.64515209197998,15.431825637817385,2.786673545837402,3.882774725272852,0.0,0,78.301,34.0,137.94509777444068,0.7853992767671734,1.1363991945282856,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
1101,28,1,DF,5869203.613,-1217638.74,2546822.047,8497.419,0.0,5300.234907352062,5301.0,326.6794024228807,4590.0,5992.0,1402.0,106719.43196737044,8,interior tibet,38.92200600865781,39.944435119628906,7.607965067216002,2.320618391036987,61.187137603759766,58.86651921272278,57.881132463978986,0.0,0,78.28,33.995,2237418.9600679143,0.4432353580150467,1.5127214558122206,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
1102,29,1,DF,5868067.388,-1218471.55,1945510.207,8773.31,0.0,5157.7276995305165,5167.0,400.9296651926419,4291.0,6015.0,1724.0,160744.59643148392,8,interior tibet,39.37653737406775,40.10008049011231,7.60263972740593,1.513333916664124,58.96573257446289,57.45239865779877,57.80013082473092,0.0,0,78.27,34.005,2404661.8774789176,0.317626279327472,1.7869728413165122,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
1103,30,1,DF,5867554.149,-1219479.67,3393225.549,10759.719,0.0,5295.725213100045,5332.0,377.3266118394692,4296.0,6090.0,1794.0,142375.37200225345,8,interior tibet,36.30804957274954,37.11710739135742,8.66398773234279,3.896550416946411,62.854434967041016,58.957884550094604,75.06468342618636,0.0,0,78.259,34.008,3304675.3642409965,0.3683161254817209,1.6594562190746782,-9.042786,-23.263092,6.707733,-0.6187744,-17.50084,6.8125
